"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","Transition run to the auto repair shop","","","2018-03-15","","4433.30683851242","","","","","0.337222222222222","3.65181782414532","","","","","","","","1.0490835840729","40.01","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","Cape May Beach Run in the crazy wind","","","2018-03-16","","6488.05081127584","","","","","0.637222222222222","2.82826975208188","","","","","","","","0.80339617315101","44.21","","","","","","","","","","","","","","","","","","","","","",""
"High HR...still sick but drugs are working","Bike","","","","2018-03-21","","23589.859375","192","441","605.316","","0.874518036842346","7.49200010299683","","77","","128","172","","","0.843599333526393","53.27","13","20","13","8","0","","","","","","15","18","10","7","4","2","","","","","",""
"Attack/PR short climb & sprint","Bike","","","","2018-03-22","","26693.5703125","221","829","616.648","","0.775833308696747","9.55700016021729","","91","","139","171","","","0.909918578731198","63.53","4","22","19","4","0","","","","","","8","17","10","7","2","4","","","","","",""
"2 climbs & 2 sprints","Bike","","","","2018-03-24","","50438.01953125","225","652","1310.628","","1.61972224712372","8.64900016784668","","88","","133","183","","","0.930863636496751","139.7","38","12","11","37","1","","","","","","16","30","20","15","13","6","","","","","",""
"2 x 6' strong pre-run intervals on Volcano Flats","Bike","","","","2018-03-25","","19289.390625","244","509","468.967","","0.533333361148834","10.0459995269775","","92","","142","173","","","0.986943748589034","51.09","4","9","15","7","0","","","","","","5","9","7","4","4","5","","","","","",""
"Running","Run","","","","2018-03-25","","6472.97998046875","","",""," *03/26/2018 David Henkel: TomTom MySports Watch*","0.563611090183258","2.74000000953674","","","","158","181","","","0.873192940526534","46.9","2","5","11","11","3","1","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-03-26","","8085.2001953125","","",""," *03/29/2018 David Henkel: TomTom MySports Watch*","0.745833337306976","2.33999991416931","","","","137","172","","","0.83675551924954","57.45","29","12","1","1","0","0","0","","","","","","","","","","","","","","",""
"Heavy legs after last night's Float #HanSoloCarbonite","Bike","","","","2018-03-28","","24168.619140625","230","472","622.629","","0.751111090183258","8.9379997253418","","88","","141","181","","","0.934612356504512","64.92","11","9","18","10","1","","","","","","8","13","9","6","6","5","","","","","",""
"Cycling","Bike","","","","2018-03-29","","18701.490234375","157","665","396.575","","0.700707793235779","7.41400003433228","","88","","","","","","0.70897672181479","34.99","","","","","","","","","","","21","11","5","2","1","2","","","","","",""
"Cycling","Bike","","","","2018-03-29","","28980.720703125","197","628","729.481","","1.02703619003296","7.83799982070923","","87","","","","","","0.814049333856503","67.54","","","","","","","","","","","18","17","11","6","4","7","","","","","",""
"Running","Run","","","","2018-03-29","","3238.919921875","","",""," *03/29/2018 David Henkel: TomTom MySports Watch*","0.218888893723488","3.57999992370605","","","","153","178","","","1.1564494274813","31.22","3","2","2","3","1","2","0","","","","","","","","","","","","","","",""
"","Swim","","","","2018-03-30","","2011.67999694225","","","","","0.483333333333333","1.15613792927715","","","","","","","","1.01149425287356","50.02","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-03-31","","39542.87890625","","",""," *03/31/2018 David Henkel: TomTom MySports Watch*","2.99055552482605","3.67000007629395","","","","119","186","","","0.63433924676958","137.02","76","60","32","10","1","","","","","","","","","","","","","","","","",""
"Couple of beers, couple hairpins turn on Alpe du Zwift #prerunride","Bike","","","","2018-04-01","","20091.91015625","216","516","618.185","","0.79347026348114","7.03299999237061","","0","","135","168","","","0.908992176675664","62.11","5","28","8","8","0","","","","","","10","16","7","5","8","4","","","","","",""
"","Run","","","","2018-04-02","","7242.05024051654","","","","","0.583333333333333","3.44859535262692","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"","Swim","Broken 300s","","","2018-04-04","","2011.67999694225","","","","","0.5","1.11759999830125","","","","","","","","0.977777777777778","46.74","","","","","","","","","","","","","","","","","","","","","",""
"Lunch on the lower slopes","Bike","","","","2018-04-05","","16937.330078125","236","400","572.192","","0.674444437026978","6.97499990463257","","0","","146","172","","","0.916955393553593","56.01","1","16","11","12","0","","","","","","3","12","9","8","7","2","","","","","",""
"Running","Run","","","","2018-04-05","","5505.830078125","","",""," *04/05/2018 David Henkel: TomTom MySports Watch*","0.447222232818604","3.16000008583069","","","","151","169","","","0.982776161353454","46.93","3","10","7","5","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-04-06","","42499.359375","","",""," *04/06/2018 David Henkel: TomTom MySports Watch*","2.27694439888","5.17999982833862","","","","130","171","","","0.650061451784208","108.8","26","67","39","4","0","","","","","","","","","","","","","","","","",""
"First time on TT bike in 6 months","Bike","","","","2018-04-07","","30789.880859375","254","317","771.123","","0.843717515468597","10.1359996795654","","0","","144","159","","","0.953551857050286","75.92","5","7","40","0","0","","","","","","3","5","4","34","5","0","","","","","",""
"Treadmill Running","Run","","","","2018-04-07","","3218.69995117188","","",""," *04/08/2018 David Henkel: TomTom MySports Watch*","0.240555554628372","3.60999989509583","","","","166","187","","","1.04785348472458","28.2","1","1","1","5","3","3","1","","","","","","","","","","","","","","",""
